CodItem,DescItem,Ano
7169,Índice geral,2012
7170,1.Alimentação e bebidas,2012
7171,11.Alimentação no domicílio,2012
7172,"1101.Cereais, leguminosas e oleaginosas",2012
7173,1101002.Arroz,2012
7175,1101051.Feijão - mulatinho,2012
7176,1101052.Feijão - preto,2012
7177,1101053.Feijão - macassar (fradinho),2012
12222,1101073.Feijão - carioca (rajado),2012
41128,1101075.Feijão - branco,2012
7184,"1102.Farinhas, féculas e massas",2012
7185,1102001.Farinha de arroz,2012
7187,1102006.Macarrão,2012
7188,1102008.Fubá de milho,2012
7189,1102009.Amido de milho,2012
7190,1102010.Flocos de milho,2012
7191,1102012.Farinha de trigo,2012
7192,1102013.Farinha vitaminada,2012
7195,1102023.Farinha de mandioca,2012
107608,1102029.Massa semipreparada,2012
7200,"1103.Tubérculos, raízes e legumes",2012
7202,1103003.Batata-inglesa,2012
7203,1103004.Inhame,2012
7204,1103005.Mandioca (aipim),2012
7205,1103017.Abóbora,2012
7210,1103026.Pimentão,2012
7211,1103027.Quiabo,2012
7212,1103028.Tomate,2012
7215,1103043.Cebola,2012
7216,1103044.Cenoura,2012
12223,1103046.Mandioquinha (batata-baroa),2012
7219,1104.Açúcares e derivados,2012
7220,1104003.Açúcar refinado,2012
7221,1104004.Açúcar cristal,2012
12224,1104018.Balas,2012
107609,1104023.Chocolate em barra e bombom,2012
7230,1104032.Sorvete,2012
107611,1104052.Chocolate e achocolatado em pó,2012
7233,1104060.Doce de frutas em pasta,2012
7241,1105.Hortaliças e verduras,2012
7242,1105001.Alface,2012
7244,1105004.Coentro,2012
7245,1105005.Couve,2012
7246,1105006.Couve-flor,2012
7248,1105010.Repolho,2012
7249,1105012.Cheiro-verde,2012
7250,1105013.Agrião,2012
7253,1105019.Brócolis,2012
7254,1106.Frutas,2012
7255,1106001.Banana-da-terra,2012
7256,1106003.Abacaxi,2012
7257,1106004.Abacate,2012
7258,1106005.Banana - d'água,2012
7259,1106006.Banana - maçã,2012
7260,1106008.Banana - prata,2012
7262,1106011.Laranja - baía,2012
7265,1106015.Limão,2012
7266,1106017.Maçã,2012
7267,1106018.Mamão,2012
7268,1106019.Manga,2012
7269,1106020.Maracujá,2012
7270,1106021.Melancia,2012
7272,1106023.Pera,2012
7275,1106027.Tangerina,2012
7276,1106028.Uva,2012
7279,1106039.Laranja - pera,2012
7280,1106051.Morango,2012
7281,1106084.Goiaba,2012
7283,1107.Carnes,2012
7285,1107009.Fígado,2012
7287,1107018.Carne de porco,2012
7288,1107031.Carne de carneiro,2012
7291,1107084.Contrafilé,2012
7292,1107085.Filé-mignon,2012
7293,1107087.Chã de dentro,2012
7294,1107088.Alcatra,2012
7295,1107089.Patinho,2012
7296,1107090.Lagarto redondo,2012
12294,1107091.Lagarto comum,2012
7298,1107093.Músculo,2012
7299,1107094.Pá,2012
7300,1107095.Acém,2012
7301,1107096.Peito,2012
101448,1107097.Capa de filé,2012
7302,1107099.Costela,2012
7303,1108.Pescados,2012
7305,1108002.Peixe - anchova,2012
101699,1108003.Peixe - badejo,2012
7306,1108004.Peixe - corvina,2012
7307,1108005.Peixe - cavalinha,2012
107613,1108006.Peixe,2012
7308,1108009.Peixe - pescadinha,2012
7309,1108011.Peixe - tainha,2012
7310,1108012.Peixe - sardinha,2012
7311,1108013.Camarão,2012
7312,1108015.Peixe - vermelho,2012
7313,1108019.Peixe - cavala,2012
8873,1108024.Peixe - pacu,2012
7316,1108028.Peixe - dourado,2012
107615,1108029.Peixe - cação,2012
107616,1108031.Peixe - merluza,2012
7317,1108032.Peixe - serra,2012
7320,1108038.Peixe - pescada,2012
7323,1108045.Caranguejo,2012
12300,1108049.Peixe - castanha,2012
101461,1108054.Peixe - piau,2012
7328,1108057.Peixe - surubim,2012
41130,1108067.Sururu,2012
101466,1108072.Peixe - curimatã,2012
12431,1108075.Peixe - salmão,2012
12302,1108080.Peixe - tilápia,2012
12432,1108083.Peixe - tucunaré,2012
41129,1108087.Peixe - tambaqui,2012
7333,1108088.Peixe - dourada,2012
8874,1108096.Peixe - peroá,2012
31694,1108112.Peixe - pintado,2012
41131,1108170.Peixe - mandi,2012
7335,1109.Carnes e peixes industrializados,2012
7336,1109002.Presunto,2012
12304,1109007.Salsicha,2012
7339,1109008.Linguiça,2012
7341,1109010.Mortadela,2012
12305,1109012.Salame,2012
12379,1109056.Carne-seca e de sol,2012
7347,1109058.Carne de porco salgada e defumada,2012
12380,1109088.Hambúrger,2012
7349,1110.Aves e ovos,2012
107617,1110009.Frango inteiro,2012
107618,1110010.Frango em pedaços,2012
7355,1110044.Ovo de galinha,2012
7356,1111.Leites e derivados,2012
12393,1111004.Leite longa vida,2012
7358,1111008.Leite condensado,2012
7359,1111009.Leite em pó,2012
107619,1111011.Queijo,2012
7360,1111012.Creme de leite,2012
12394,1111019.Iogurte e bebidas lácteas,2012
7367,1111031.Manteiga,2012
7372,1112.Panificados,2012
7373,1112003.Biscoito,2012
7375,1112015.Pão francês,2012
7376,1112017.Pão doce,2012
7377,1112018.Pão de forma,2012
7378,1112019.Bolo,2012
7380,1112025.Pão de queijo,2012
7384,1113.Óleos e gorduras,2012
7385,1113013.Óleo de soja,2012
7386,1113014.Azeite de oliva,2012
12395,1113040.Margarina,2012
7389,1114.Bebidas e infusões,2012
7390,1114001.Suco de frutas,2012
12396,1114004.Açaí (emulsão),2012
7392,1114022.Café moído,2012
7393,1114023.Café solúvel,2012
107620,1114029.Chá,2012
107621,1114083.Refrigerante e água mineral,2012
7396,1114084.Cerveja,2012
7397,1114085.Outras bebidas alcoólicas,2012
7401,1115.Enlatados e conservas,2012
7402,1115004.Coco ralado,2012
